datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 12:45:19.394,0.0,0,0.0,2023-05-18 12:45:19.394
2023-05-18 12:45:25.542,0.0,0,0.0,2023-05-18 12:45:25.542
2023-05-18 12:45:37.245,0.0,0,0.0,2023-05-18 12:45:37.245
2023-05-18 12:45:43.047,0.0,0,0.0,2023-05-18 12:45:43.047
2023-05-18 12:45:48.726,0.0,0,0.0,2023-05-18 12:45:48.726
2023-05-18 12:45:54.527,0.0,0,0.0,2023-05-18 12:45:54.527
2023-05-18 12:46:00.344,0.0,0,0.0,2023-05-18 12:46:00.344
2023-05-18 12:46:06.779,0.0,0,0.0,2023-05-18 12:46:06.779
2023-05-18 12:46:12.945,0.0,0,0.0,2023-05-18 12:46:12.945
2023-05-18 12:46:18.889,0.0,0,0.0,2023-05-18 12:46:18.889
2023-05-18 12:46:24.628,0.0,0,0.0,2023-05-18 12:46:24.628
2023-05-18 12:46:30.212,0.0,0,0.0,2023-05-18 12:46:30.212
2023-05-18 12:46:37.098,0.0,0,0.0,2023-05-18 12:46:37.098
2023-05-18 12:51:07.968,0.0,0,0.0,2023-05-18 12:51:07.968
2023-05-18 12:51:41.101,0.0,0,0.0,2023-05-18 12:51:41.101
2023-05-18 12:59:59.887,0.0,0,0.0,2023-05-18 12:59:59.887
2023-05-18 13:00:04.501,0.0,0,0.0,2023-05-18 13:00:04.501
2023-05-18 13:00:10.208,0.0,0,0.0,2023-05-18 13:00:10.208
2023-05-18 13:00:16.352,0.0,0,0.0,2023-05-18 13:00:16.352
2023-05-18 13:00:22.586,0.0,0,0.0,2023-05-18 13:00:22.586
2023-05-18 13:00:28.490,0.0,0,0.0,2023-05-18 13:00:28.490
2023-05-18 13:00:35.058,0.0,0,0.0,2023-05-18 13:00:35.058
2023-05-18 13:00:46.644,0.0,0,0.0,2023-05-18 13:00:46.644
2023-05-18 13:00:52.578,0.0,0,0.0,2023-05-18 13:00:52.578
2023-05-18 13:00:58.637,0.0,0,0.0,2023-05-18 13:00:58.637
2023-05-18 13:01:04.745,0.0,0,0.0,2023-05-18 13:01:04.745
2023-05-18 13:01:17.116,0.0,0,0.0,2023-05-18 13:01:17.116
2023-05-18 13:01:23.289,0.0,0,0.0,2023-05-18 13:01:23.289
2023-05-18 13:01:35.703,0.0,0,0.0,2023-05-18 13:01:35.703
2023-05-18 13:01:46.601,0.0,0,0.0,2023-05-18 13:01:46.601
2023-05-18 13:01:57.552,0.0,0,0.0,2023-05-18 13:01:57.552
2023-05-18 13:02:08.135,0.0,0,0.0,2023-05-18 13:02:08.135
2023-05-18 13:02:22.122,0.0,0,0.0,2023-05-18 13:02:22.122
2023-05-18 13:02:27.916,0.0,0,0.0,2023-05-18 13:02:27.916
2023-05-18 13:02:33.660,0.0,0,0.0,2023-05-18 13:02:33.660
2023-05-18 13:02:39.348,0.0,0,0.0,2023-05-18 13:02:39.348
2023-05-18 13:02:45.074,0.0,0,0.0,2023-05-18 13:02:45.074
2023-05-18 13:02:50.865,0.0,0,0.0,2023-05-18 13:02:50.865
2023-05-18 13:02:56.911,0.0,0,0.0,2023-05-18 13:02:56.911
2023-05-18 13:03:03.144,0.0,0,0.0,2023-05-18 13:03:03.144
2023-05-18 13:03:08.790,0.0,0,0.0,2023-05-18 13:03:08.790
2023-05-18 13:03:15.134,0.0,0,0.0,2023-05-18 13:03:15.134
2023-05-18 13:03:21.784,0.0,0,0.0,2023-05-18 13:03:21.784
2023-05-18 13:03:27.226,0.0,0,0.0,2023-05-18 13:03:27.226
2023-05-18 13:03:33.231,0.0,0,0.0,2023-05-18 13:03:33.231
2023-05-18 13:03:38.941,0.0,0,0.0,2023-05-18 13:03:38.941
2023-05-18 13:03:44.611,0.0,0,0.0,2023-05-18 13:03:44.611
2023-05-18 13:03:50.404,0.0,0,0.0,2023-05-18 13:03:50.404
2023-05-18 13:03:56.596,0.0,0,0.0,2023-05-18 13:03:56.596
2023-05-18 13:04:02.367,0.0,0,0.0,2023-05-18 13:04:02.367
2023-05-18 13:04:08.354,0.0,0,0.0,2023-05-18 13:04:08.354
2023-05-18 13:04:14.481,0.0,0,0.0,2023-05-18 13:04:14.481
2023-05-18 13:04:20.280,0.0,0,0.0,2023-05-18 13:04:20.280
2023-05-18 13:04:25.828,0.0,0,0.0,2023-05-18 13:04:25.828
2023-05-18 13:04:34.606,0.0,0,0.0,2023-05-18 13:04:34.606
2023-05-18 13:04:40.420,0.0,0,0.0,2023-05-18 13:04:40.420
2023-05-18 13:04:46.076,0.0,0,0.0,2023-05-18 13:04:46.076
2023-05-18 13:04:54.662,0.0,0,0.0,2023-05-18 13:04:54.662
2023-05-18 13:05:07.447,0.0,0,0.0,2023-05-18 13:05:07.447
2023-05-18 13:05:13.227,0.0,0,0.0,2023-05-18 13:05:13.227
2023-05-18 13:07:21.967,0.0,0,0.0,2023-05-18 13:07:21.967
2023-05-18 13:07:27.802,0.0,0,0.0,2023-05-18 13:07:27.802
2023-05-18 13:07:36.804,0.0,0,0.0,2023-05-18 13:07:36.804
2023-05-18 13:07:44.233,0.0,0,0.0,2023-05-18 13:07:44.233
2023-05-18 13:07:56.878,0.0,0,0.0,2023-05-18 13:07:56.878
2023-05-18 13:08:15.811,0.0,0,0.0,2023-05-18 13:08:15.811
2023-05-18 13:08:20.985,0.0,0,0.0,2023-05-18 13:08:20.985
2023-05-18 13:08:26.792,0.0,0,0.0,2023-05-18 13:08:26.792
2023-05-18 13:08:37.656,0.0,0,0.0,2023-05-18 13:08:37.656
2023-05-18 13:08:45.026,0.0,0,0.0,2023-05-18 13:08:45.026
2023-05-18 13:08:52.357,0.0,0,0.0,2023-05-18 13:08:52.357
2023-05-18 13:09:03.074,0.0,0,0.0,2023-05-18 13:09:03.074
2023-05-18 13:09:13.883,0.0,0,0.0,2023-05-18 13:09:13.883
2023-05-18 13:09:24.819,0.0,0,0.0,2023-05-18 13:09:24.819
2023-05-18 13:09:42.119,0.0,0,0.0,2023-05-18 13:09:42.119
